iter	Passed	Remaining
0	1	124
1	2	116
2	3	113
3	4	104
4	5	100
5	6	109
6	8	108
7	9	106
8	10	103
9	11	100
10	12	98
11	13	96
12	14	93
13	14	91
14	15	90
15	16	88
16	17	86
17	18	85
18	19	83
19	21	85
20	22	85
21	24	85
22	25	83
23	26	82
24	27	81
25	27	79
26	28	78
27	29	76
28	30	75
29	31	74
30	32	72
31	33	71
32	34	70
33	35	69
34	37	68
35	38	68
36	39	67
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	72	31
70	73	30
71	75	29
72	75	28
73	76	27
74	77	25
75	78	24
76	80	24
77	81	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
